i;Accuracy;Kappa;AccuracyLower;AccuracyUpper;AccuracyNull;AccuracyPValue;McnemarPValue;Sensitivity;Specificity;Pos.Pred.Value;Neg.Pred.Value;Precision;Recall;F1;Prevalence;Detection.Rate;Detection.Prevalence;Balanced.Accuracy;AUC
1;0,677777777778;0,232804232804;0,604210909908;0,745375087141;0,8;0,99996177356;0,000140159543;0,611111111111;0,694444444444;0,333333333333;0,877192982456;0,333333333333;0,611111111111;0,43137254902;0,2;0,122222222222;0,366666666667;0,652777777778;0,73900462963
2;0,688888888889;0,282051282051;0,615764615659;0,755667610229;0,8;0,99985355489;1,0346112e-05;0,694444444444;0,6875;0,357142857143;0,9;0,357142857143;0,694444444444;0,471698113208;0,2;0,138888888889;0,388888888889;0,690972222222;0,751736111111
3;0,7;0,25;0,627362758361;0,765915075219;0,8;0,999490484861;0,001748637005;0,583333333333;0,729166666667;0,35;0,875;0,35;0,583333333333;0,4375;0,2;0,116666666667;0,333333333333;0,65625;0,681520061728
4;0,727777777778;0,325068870523;0,656561717112;0,791326936824;0,8;0,992497365266;0,000606766846;0,666666666667;0,743055555556;0,393442622951;0,899159663866;0,393442622951;0,666666666667;0,494845360825;0,2;0,133333333333;0,338888888889;0,704861111111;0,759452160494
5;0,705555555556;0,281842818428;0,633178907282;0,771021475632;0,8;0,999083606;0,000355112479;0,638888888889;0,722222222222;0,365079365079;0,888888888889;0,365079365079;0,638888888889;0,464646464646;0,2;0,127777777778;0,35;0,680555555556;0,721836419753
6;0,711111111111;0,22619047619;0,639006680354;0,776116069694;0,8;0,998391591559;0,037514001616;0,5;0,763888888889;0,346153846154;0,859375;0,346153846154;0,5;0,409090909091;0,2;0,1;0,288888888889;0,631944444444;0,678240740741
7;0,7;0,210526315789;0,627362758361;0,765915075219;0,8;0,999490484861;0,020700273726;0,5;0,75;0,333333333333;0,857142857143;0,333333333333;0,5;0,4;0,2;0,1;0,3;0,625;0,66512345679
8;0,738888888889;0,281345565749;0,668327012507;0,801404462994;0,8;0,981495657599;0,080052782358;0,527777777778;0,791666666667;0,387755102041;0,870229007634;0,387755102041;0,527777777778;0,447058823529;0,2;0,105555555556;0,272222222222;0,659722222222;0,768132716049
9;0,722222222222;0,228395061728;0,650697876994;0,786269019652;0,8;0,995397388573;0,119794930426;0,472222222222;0,784722222222;0,354166666667;0,856060606061;0,354166666667;0,472222222222;0,404761904762;0,2;0,094444444444;0,266666666667;0,628472222222;0,728973765432
10;0,761111111111;0,365781710914;0,692015266218;0,821398682403;0,8;0,916522543384;0,014688191946;0,638888888889;0,791666666667;0,433962264151;0,897637795276;0,433962264151;0,638888888889;0,516853932584;0,2;0,127777777778;0,294444444444;0,715277777778;0,77912808642
11;0,688888888889;0,166666666667;0,615764615659;0,755667610229;0,8;0,99985355489;0,045020881003;0,444444444444;0,75;0,307692307692;0,84375;0,307692307692;0,444444444444;0,363636363636;0,2;0,088888888889;0,288888888889;0,597222222222;0,664737654321
12;0,683333333333;0,227642276423;0,609982286547;0,750526898482;0,8;0,999924278077;0,000573633511;0,583333333333;0,708333333333;0,333333333333;0,871794871795;0,333333333333;0,583333333333;0,424242424242;0,2;0,116666666667;0,35;0,645833333333;0,743827160494
13;0,655555555556;0,192708333333;0,581232109834;0,724659811207;0,8;0,999998041455;8,2505254e-05;0,583333333333;0,673611111111;0,308823529412;0,866071428571;0,308823529412;0,583333333333;0,403846153846;0,2;0,116666666667;0,377777777778;0,628472222222;0,714313271605
14;0,705555555556;0,245014245014;0,633178907282;0,771021475632;0,8;0,999083606;0,006010440201;0,555555555556;0,743055555556;0,350877192982;0,869918699187;0,350877192982;0,555555555556;0,430107526882;0,2;0,111111111111;0,316666666667;0,649305555556;0,702932098765
15;0,622222222222;0,166666666667;0,547070807797;0,693276728566;0,8;0,999999988709;2,251348e-06;0,611111111111;0,625;0,289473684211;0,865384615385;0,289473684211;0,611111111111;0,392857142857;0,2;0,122222222222;0,422222222222;0,618055555556;0,695216049383
16;0,65;0,146341463415;0,575513445123;0,719454659607;0,8;0,999999121319;0,001054034046;0,5;0,6875;0,285714285714;0,846153846154;0,285714285714;0,5;0,363636363636;0,2;0,1;0,35;0,59375;0,649691358025
17;0,666666666667;0,180327868852;0,592700435515;0,735038774369;0,8;0,99999092921;0,001248830988;0,527777777778;0,701388888889;0,306451612903;0,85593220339;0,306451612903;0,527777777778;0,387755102041;0,2;0,105555555556;0,344444444444;0,614583333333;0,669945987654
18;0,633333333333;0,166666666667;0,558418119971;0,703777919364;0,8;0,999999930959;1,645869e-05;0,583333333333;0,645833333333;0,291666666667;0,861111111111;0,291666666667;0,583333333333;0,388888888889;0,2;0,116666666667;0,4;0,614583333333;0,698688271605
19;0,694444444444;0,216524216524;0,621558051877;0,760797059695;0,8;0,999723515481;0,007000941989;0,527777777778;0,736111111111;0,333333333333;0,861788617886;0,333333333333;0,527777777778;0,408602150538;0,2;0,105555555556;0,316666666667;0,631944444444;0,685185185185
20;0,711111111111;0,212121212121;0,639006680354;0,776116069694;0,8;0,998391591559;0,07142345773;0,472222222222;0,770833333333;0,34;0,853846153846;0,34;0,472222222222;0,395348837209;0,2;0,094444444444;0,277777777778;0,621527777778;0,630594135802
21;0,744444444444;0,33908045977;0,67422895991;0,806423552937;0,8;0,972005095915;0,005088185461;0,638888888889;0,770833333333;0,410714285714;0,895161290323;0,410714285714;0,638888888889;0,5;0,2;0,127777777778;0,311111111111;0,704861111111;0,72299382716
22;0,677777777778;0,152046783626;0,604210909908;0,745375087141;0,8;0,99996177356;0,025601129178;0,444444444444;0,736111111111;0,296296296296;0,84126984127;0,296296296296;0,444444444444;0,355555555556;0,2;0,088888888889;0,3;0,590277777778;0,623456790123
23;0,716666666667;0,260869565217;0,644846269403;0,781198655469;0,8;0,997245442641;0,0117186856;0,555555555556;0,756944444444;0,363636363636;0,872;0,363636363636;0,555555555556;0,43956043956;0,2;0,111111111111;0,305555555556;0,65625;0,715856481481
24;0,705555555556;0,231884057971;0,633178907282;0,771021475632;0,8;0,999083606;0,013417541071;0,527777777778;0,75;0,345454545455;0,864;0,345454545455;0,527777777778;0,417582417582;0,2;0,105555555556;0,305555555556;0,638888888889;0,695216049383
25;0,672222222222;0,187327823691;0,598450339192;0,740212330392;0,8;0,999981156818;0,001780870221;0,527777777778;0,708333333333;0,311475409836;0,857142857143;0,311475409836;0,527777777778;0,39175257732;0,2;0,105555555556;0,338888888889;0,618055555556;0,68074845679
26;0,577777777778;0,107981220657;0,502064154737;0,650886519682;0,8;0,999999999997;2,44516e-07;0,583333333333;0,576388888889;0,256097560976;0,84693877551;0,256097560976;0,583333333333;0,35593220339;0,2;0,116666666667;0,455555555556;0,579861111111;0,639660493827
27;0,605555555556;0,123456790123;0,53012246386;0,677451728356;0,8;0,99999999937;6,489786e-06;0,555555555556;0,618055555556;0,266666666667;0,847619047619;0,266666666667;0,555555555556;0,36036036036;0,2;0,111111111111;0,416666666667;0,586805555556;0,68537808642
28;0,705555555556;0,304461942257;0,633178907282;0,771021475632;0,8;0,999083606;3,7753135e-05;0,694444444444;0,708333333333;0,373134328358;0,902654867257;0,373134328358;0,694444444444;0,485436893204;0,2;0,138888888889;0,372222222222;0,701388888889;0,744984567901
29;0,7;0,224137931034;0,627362758361;0,765915075219;0,8;0,999490484861;0,009721742312;0,527777777778;0,743055555556;0,339285714286;0,862903225806;0,339285714286;0,527777777778;0,413043478261;0,2;0,105555555556;0,311111111111;0,635416666667;0,706211419753
30;0,7;0,296875;0,627362758361;0,765915075219;0,8;0,999490484861;2,4586137e-05;0,694444444444;0,701388888889;0,367647058824;0,901785714286;0,367647058824;0,694444444444;0,480769230769;0,2;0,138888888889;0,377777777778;0,697916666667;0,763117283951
31;0,705555555556;0,281842818428;0,633178907282;0,771021475632;0,8;0,999083606;0,000355112479;0,638888888889;0,722222222222;0,365079365079;0,888888888889;0,365079365079;0,638888888889;0,464646464646;0,2;0,127777777778;0,35;0,680555555556;0,722029320988
32;0,7;0,318181818182;0,627362758361;0,765915075219;0,8;0,999490484861;1,908335e-06;0,75;0,6875;0,375;0,916666666667;0,375;0,75;0,5;0,2;0,15;0,4;0,71875;0,764274691358
33;0,627777777778;0,160401002506;0,552739567924;0,698532262423;0,8;0,999999971759;1,0920267e-05;0,583333333333;0,638888888889;0,287671232877;0,859813084112;0,287671232877;0,583333333333;0,385321100917;0,2;0,116666666667;0,405555555556;0,611111111111;0,658564814815
34;0,716666666667;0,32;0,644846269403;0,781198655469;0,8;0,997245442641;8,8261263e-05;0,694444444444;0,722222222222;0,384615384615;0,904347826087;0,384615384615;0,694444444444;0,49504950495;0,2;0,138888888889;0,361111111111;0,708333333333;0,802662037037
35;0,588888888889;0,093137254902;0,5132595114;0,661540736908;0,8;0,999999999971;5,797089e-06;0,527777777778;0,604166666667;0,25;0,836538461538;0,25;0,527777777778;0,339285714286;0,2;0,105555555556;0,422222222222;0,565972222222;0,612268518519
36;0,716666666667;0,234234234234;0,644846269403;0,781198655469;0,8;0,997245442641;0,049949976455;0,5;0,770833333333;0,352941176471;0,860465116279;0,352941176471;0,5;0,413793103448;0,2;0,1;0,283333333333;0,635416666667;0,709297839506
37;0,661111111111;0,186666666667;0,586961067282;0,729854557565;0,8;0,999995735305;0,000337036054;0,555555555556;0,6875;0,307692307692;0,860869565217;0,307692307692;0,555555555556;0,39603960396;0,2;0,111111111111;0,361111111111;0,621527777778;0,703703703704
38;0,716666666667;0,297520661157;0,644846269403;0,781198655469;0,8;0,997245442641;0,000777530447;0,638888888889;0,736111111111;0,377049180328;0,890756302521;0,377049180328;0,638888888889;0,474226804124;0,2;0,127777777778;0,338888888889;0,6875;0,745563271605
39;0,683333333333;0,188034188034;0,609982286547;0,750526898482;0,8;0,999924278077;0,008071487425;0,5;0,729166666667;0,315789473684;0,853658536585;0,315789473684;0,5;0,387096774194;0,2;0,1;0,316666666667;0,614583333333;0,654706790123
40;0,655555555556;0,179894179894;0,581232109834;0,724659811207;0,8;0,999998041455;0,000230501828;0,555555555556;0,680555555556;0,30303030303;0,859649122807;0,30303030303;0,555555555556;0,392156862745;0,2;0,111111111111;0,366666666667;0,618055555556;0,646412037037
41;0,633333333333;0,191176470588;0,558418119971;0,703777919364;0,8;0,999999930959;1,582161e-06;0,638888888889;0,631944444444;0,302631578947;0,875;0,302631578947;0,638888888889;0,410714285714;0,2;0,127777777778;0,422222222222;0,635416666667;0,694637345679
42;0,711111111111;0,301075268817;0,639006680354;0,776116069694;0,8;0,998391591559;0,00018095049;0,666666666667;0,722222222222;0,375;0,896551724138;0,375;0,666666666667;0,48;0,2;0,133333333333;0,355555555556;0,694444444444;0,717592592593
43;0,772222222222;0,361370716511;0,703942916735;0,831310416305;0,8;0,847205931546;0,118349812736;0,583333333333;0,819444444444;0,446808510638;0,887218045113;0,446808510638;0,583333333333;0,506024096386;0,2;0,116666666667;0,261111111111;0,701388888889;0,760223765432
44;0,688888888889;0,222222222222;0,615764615659;0,755667610229;0,8;0,99985355489;0,002115606516;0,555555555556;0,722222222222;0,333333333333;0,866666666667;0,333333333333;0,555555555556;0,416666666667;0,2;0,111111111111;0,333333333333;0,638888888889;0,690972222222
45;0,633333333333;0,202898550725;0,558418119971;0,703777919364;0,8;0,999999930959;4,49386e-07;0,666666666667;0,625;0,307692307692;0,882352941176;0,307692307692;0,666666666667;0,421052631579;0,2;0,133333333333;0,433333333333;0,645833333333;0,723958333333
46;0,744444444444;0,262820512821;0,67422895991;0,806423552937;0,8;0,972005095915;0,30202822811;0,472222222222;0,8125;0,386363636364;0,860294117647;0,386363636364;0,472222222222;0,425;0,2;0,094444444444;0,244444444444;0,642361111111;0,705054012346
47;0,611111111111;0,102564102564;0,535762332416;0,682736380276;0,8;0,999999998314;8,0048641e-05;0,5;0,638888888889;0,257142857143;0,836363636364;0,257142857143;0,5;0,339622641509;0,2;0,1;0,388888888889;0,569444444444;0,585841049383
48;0,694444444444;0,300254452926;0,621558051877;0,760797059695;0,8;0,999723515481;4,549455e-06;0,722222222222;0,6875;0,366197183099;0,908256880734;0,366197183099;0,722222222222;0,485981308411;0,2;0,144444444444;0,394444444444;0,704861111111;0,766589506173
49;0,744444444444;0,29012345679;0,67422895991;0,806423552937;0,8;0,972005095915;0,104833002858;0,527777777778;0,798611111111;0,395833333333;0,871212121212;0,395833333333;0,527777777778;0,452380952381;0,2;0,105555555556;0,266666666667;0,663194444444;0,713445216049
50;0,655555555556;0,179894179894;0,581232109834;0,724659811207;0,8;0,999998041455;0,000230501828;0,555555555556;0,680555555556;0,30303030303;0,859649122807;0,30303030303;0,555555555556;0,392156862745;0,2;0,111111111111;0,366666666667;0,618055555556;0,668016975309
51;0,666666666667;0,206349206349;0,592700435515;0,735038774369;0,8;0,99999092921;0,000181197404;0,583333333333;0,6875;0,318181818182;0,868421052632;0,318181818182;0,583333333333;0,411764705882;0,2;0,116666666667;0,366666666667;0,635416666667;0,666280864198
52;0,716666666667;0,297520661157;0,644846269403;0,781198655469;0,8;0,997245442641;0,000777530447;0,638888888889;0,736111111111;0,377049180328;0,890756302521;0,377049180328;0,638888888889;0,474226804124;0,2;0,127777777778;0,338888888889;0,6875;0,72762345679
53;0,672222222222;0,144927536232;0,598450339192;0,740212330392;0,8;0,999981156818;0,019108863645;0,444444444444;0,729166666667;0,290909090909;0,84;0,290909090909;0,444444444444;0,351648351648;0,2;0,088888888889;0,305555555556;0,586805555556;0,681327160494
54;0,716666666667;0,247787610619;0,644846269403;0,781198655469;0,8;0,997245442641;0,025061844344;0,527777777778;0,763888888889;0,358490566038;0,866141732283;0,358490566038;0,527777777778;0,426966292135;0,2;0,105555555556;0,294444444444;0,645833333333;0,69425154321
55;0,694444444444;0,289405684755;0,621558051877;0,760797059695;0,8;0,999723515481;1,5969026e-05;0,694444444444;0,694444444444;0,36231884058;0,900900900901;0,36231884058;0,694444444444;0,47619047619;0,2;0,138888888889;0,383333333333;0,694444444444;0,730709876543
56;0,622222222222;0,178743961353;0,547070807797;0,693276728566;0,8;0,999999988709;6,62724e-07;0,638888888889;0,618055555556;0,294871794872;0,872549019608;0,294871794872;0,638888888889;0,40350877193;0,2;0,127777777778;0,433333333333;0,628472222222;0,741705246914
57;0,644444444444;0,153439153439;0,569804961414;0,714239220485;0,8;0,999999614851;0,000288961452;0,527777777778;0,673611111111;0,287878787879;0,850877192982;0,287878787879;0,527777777778;0,372549019608;0,2;0,105555555556;0,366666666667;0,600694444444;0,631365740741
58;0,727777777778;0,289855072464;0,656561717112;0,791326936824;0,8;0,992497365266;0,010127990549;0,583333333333;0,763888888889;0,381818181818;0,88;0,381818181818;0,583333333333;0,461538461538;0,2;0,116666666667;0,305555555556;0,673611111111;0,697337962963
59;0,716666666667;0,247787610619;0,644846269403;0,781198655469;0,8;0,997245442641;0,025061844344;0,527777777778;0,763888888889;0,358490566038;0,866141732283;0,358490566038;0,527777777778;0,426966292135;0,2;0,105555555556;0,294444444444;0,645833333333;0,684413580247
60;0,677777777778;0,244791666667;0,604210909908;0,745375087141;0,8;0,99996177356;4,6912458e-05;0,638888888889;0,6875;0,338235294118;0,883928571429;0,338235294118;0,638888888889;0,442307692308;0,2;0,127777777778;0,377777777778;0,663194444444;0,753665123457
61;0,727777777778;0,336043360434;0,656561717112;0,791326936824;0,8;0,992497365266;0,00020377846;0,694444444444;0,736111111111;0,396825396825;0,905982905983;0,396825396825;0,694444444444;0,505050505051;0,2;0,138888888889;0,35;0,715277777778;0,742476851852
62;0,733333333333;0,375;0,662438015907;0,796372168652;0,8;0,988069848766;7,660302e-06;0,777777777778;0,722222222222;0,411764705882;0,928571428571;0,411764705882;0,777777777778;0,538461538462;0,2;0,155555555556;0,377777777778;0,75;0,820601851852
63;0,727777777778;0,289855072464;0,656561717112;0,791326936824;0,8;0,992497365266;0,010127990549;0,583333333333;0,763888888889;0,381818181818;0,88;0,381818181818;0,583333333333;0,461538461538;0,2;0,116666666667;0,305555555556;0,673611111111;0,766396604938
64;0,705555555556;0,245014245014;0,633178907282;0,771021475632;0,8;0,999083606;0,006010440201;0,555555555556;0,743055555556;0,350877192982;0,869918699187;0,350877192982;0,555555555556;0,430107526882;0,2;0,111111111111;0,316666666667;0,649305555556;0,751350308642
65;0,622222222222;0,141414141414;0,547070807797;0,693276728566;0,8;0,999999988709;2,1920504e-05;0,555555555556;0,638888888889;0,277777777778;0,851851851852;0,277777777778;0,555555555556;0,37037037037;0,2;0,111111111111;0,4;0,597222222222;0,656442901235
66;0,683333333333;0,128440366972;0,609982286547;0,750526898482;0,8;0,999924278077;0,111961354264;0,388888888889;0,756944444444;0,285714285714;0,832061068702;0,285714285714;0,388888888889;0,329411764706;0,2;0,077777777778;0,272222222222;0,572916666667;0,657793209877
67;0,766666666667;0,385964912281;0,697971860597;0,826361950372;0,8;0,885665471017;0,008711912962;0,666666666667;0,791666666667;0,444444444444;0,904761904762;0,444444444444;0,666666666667;0,533333333333;0,2;0,133333333333;0,3;0,729166666667;0,771604938272
68;0,722222222222;0,269005847953;0,650697876994;0,786269019652;0,8;0,995397388573;0,016209541409;0,555555555556;0,763888888889;0,37037037037;0,873015873016;0,37037037037;0,555555555556;0,444444444444;0,2;0,111111111111;0,3;0,659722222222;0,727237654321
69;0,672222222222;0,173669467787;0,598450339192;0,740212330392;0,8;0,999981156818;0,004181219799;0,5;0,715277777778;0,305084745763;0,851239669421;0,305084745763;0,5;0,378947368421;0,2;0,1;0,327777777778;0,607638888889;0,65162037037
70;0,705555555556;0,218289085546;0,633178907282;0,771021475632;0,8;0,999083606;0,027965569966;0,5;0,756944444444;0,339622641509;0,858267716535;0,339622641509;0,5;0,404494382022;0,2;0,1;0,294444444444;0,628472222222;0,653742283951
71;0,688888888889;0,270833333333;0,615764615659;0,755667610229;0,8;0,99985355489;3,4346658e-05;0,666666666667;0,694444444444;0,352941176471;0,892857142857;0,352941176471;0,666666666667;0,461538461538;0,2;0,133333333333;0,377777777778;0,680555555556;0,78337191358
72;0,694444444444;0,278215223097;0,621558051877;0,760797059695;0,8;0,999723515481;5,2278658e-05;0,666666666667;0,701388888889;0,358208955224;0,893805309735;0,358208955224;0,666666666667;0,466019417476;0,2;0,133333333333;0,372222222222;0,684027777778;0,713734567901
73;0,683333333333;0,227642276423;0,609982286547;0,750526898482;0,8;0,999924278077;0,000573633511;0,583333333333;0,708333333333;0,333333333333;0,871794871795;0,333333333333;0,583333333333;0,424242424242;0,2;0,116666666667;0,35;0,645833333333;0,700424382716
74;0,711111111111;0,166666666667;0,639006680354;0,776116069694;0,8;0,998391591559;0,331685068057;0,388888888889;0,791666666667;0,318181818182;0,838235294118;0,318181818182;0,388888888889;0,35;0,2;0,077777777778;0,244444444444;0,590277777778;0,688850308642
75;0,716666666667;0,273504273504;0,644846269403;0,781198655469;0,8;0,997245442641;0,005101399646;0,583333333333;0,75;0,368421052632;0,878048780488;0,368421052632;0,583333333333;0,451612903226;0,2;0,116666666667;0,316666666667;0,666666666667;0,724537037037
76;0,7;0,25;0,627362758361;0,765915075219;0,8;0,999490484861;0,001748637005;0,583333333333;0,729166666667;0,35;0,875;0,35;0,583333333333;0,4375;0,2;0,116666666667;0,333333333333;0,65625;0,69212962963
77;0,638888888889;0,133333333333;0,564106553005;0,709013605267;0,8;0,999999835042;0,000514727962;0,5;0,673611111111;0,276923076923;0,84347826087;0,276923076923;0,5;0,356435643564;0,2;0,1;0,361111111111;0,586805555556;0,67611882716
78;0,666666666667;0,21875;0,592700435515;0,735038774369;0,8;0,99999092921;6,2787319e-05;0,611111111111;0,680555555556;0,323529411765;0,875;0,323529411765;0,611111111111;0,423076923077;0,2;0,122222222222;0,377777777778;0,645833333333;0,680941358025
79;0,65;0,146341463415;0,575513445123;0,719454659607;0,8;0,999999121319;0,001054034046;0,5;0,6875;0,285714285714;0,846153846154;0,285714285714;0,5;0,363636363636;0,2;0,1;0,35;0,59375;0,669174382716
80;0,716666666667;0,260869565217;0,644846269403;0,781198655469;0,8;0,997245442641;0,0117186856;0,555555555556;0,756944444444;0,363636363636;0,872;0,363636363636;0,555555555556;0,43956043956;0,2;0,111111111111;0,305555555556;0,65625;0,75212191358
81;0,683333333333;0,227642276423;0,609982286547;0,750526898482;0,8;0,999924278077;0,000573633511;0,583333333333;0,708333333333;0,333333333333;0,871794871795;0,333333333333;0,583333333333;0,424242424242;0,2;0,116666666667;0,35;0,645833333333;0,715470679012
82;0,733333333333;0,183673469388;0,662438015907;0,796372168652;0,8;0,988069848766;0,885233914473;0,361111111111;0,826388888889;0,342105263158;0,838028169014;0,342105263158;0,361111111111;0,351351351351;0,2;0,072222222222;0,211111111111;0,59375;0,686921296296
83;0,761111111111;0,376811594203;0,692015266218;0,821398682403;0,8;0,916522543384;0,006051564288;0,666666666667;0,784722222222;0,436363636364;0,904;0,436363636364;0,666666666667;0,527472527473;0,2;0,133333333333;0,305555555556;0,725694444444;0,812692901235
84;0,688888888889;0,151515151515;0,615764615659;0,755667610229;0,8;0,99985355489;0,082352215053;0,416666666667;0,756944444444;0,3;0,838461538462;0,3;0,416666666667;0,348837209302;0,2;0,083333333333;0,277777777778;0,586805555556;0,685956790123
85;0,683333333333;0,227642276423;0,609982286547;0,750526898482;0,8;0,999924278077;0,000573633511;0,583333333333;0,708333333333;0,333333333333;0,871794871795;0,333333333333;0,583333333333;0,424242424242;0,2;0,116666666667;0,35;0,645833333333;0,71875
86;0,677777777778;0,180790960452;0,604210909908;0,745375087141;0,8;0,99996177356;0,005825677828;0,5;0,722222222222;0,310344827586;0,852459016393;0,310344827586;0,5;0,382978723404;0,2;0,1;0,322222222222;0,611111111111;0,729552469136
87;0,683333333333;0,227642276423;0,609982286547;0,750526898482;0,8;0,999924278077;0,000573633511;0,583333333333;0,708333333333;0,333333333333;0,871794871795;0,333333333333;0,583333333333;0,424242424242;0,2;0,116666666667;0,35;0,645833333333;0,703317901235
88;0,661111111111;0,173441734417;0,586961067282;0,729854557565;0,8;0,999995735305;0,000871712739;0,527777777778;0,694444444444;0,301587301587;0,854700854701;0,301587301587;0,527777777778;0,383838383838;0,2;0,105555555556;0,35;0,611111111111;0,657021604938
89;0,7;0,307692307692;0,627362758361;0,765915075219;0,8;0,999490484861;7,097908e-06;0,722222222222;0,694444444444;0,371428571429;0,909090909091;0,371428571429;0,722222222222;0,490566037736;0,2;0,144444444444;0,388888888889;0,708333333333;0,746334876543
90;0,755555555556;0,408602150538;0,686072794439;0,816420971574;0,8;0,940541969033;4,6931849e-05;0,777777777778;0,75;0,4375;0,931034482759;0,4375;0,777777777778;0,56;0,2;0,155555555556;0,355555555556;0,763888888889;0,807484567901
91;0,677777777778;0,220430107527;0,604210909908;0,745375087141;0,8;0,99996177356;0,000392205622;0,583333333333;0,701388888889;0,328125;0,870689655172;0,328125;0,583333333333;0,42;0,2;0,116666666667;0,355555555556;0,642361111111;0,68962191358
92;0,655555555556;0,138888888889;0,581232109834;0,724659811207;0,8;0,999998041455;0,003489065562;0,472222222222;0,701388888889;0,283333333333;0,841666666667;0,283333333333;0,472222222222;0,354166666667;0,2;0,094444444444;0,333333333333;0,586805555556;0,668402777778
93;0,75;0,311926605505;0,680144125964;0,811429155722;0,8;0,958689979523;0,07363827012;0,555555555556;0,798611111111;0,408163265306;0,87786259542;0,408163265306;0,555555555556;0,470588235294;0,2;0,111111111111;0,272222222222;0,677083333333;0,758294753086
94;0,627777777778;0,134366925065;0,552739567924;0,698532262423;0,8;0,999999971759;9,2517138e-05;0,527777777778;0,652777777778;0,275362318841;0,846846846847;0,275362318841;0,527777777778;0,361904761905;0,2;0,105555555556;0,383333333333;0,590277777778;0,655092592593
95;0,688888888889;0,209039548023;0,615764615659;0,755667610229;0,8;0,99985355489;0,005012287145;0,527777777778;0,729166666667;0,327586206897;0,860655737705;0,327586206897;0,527777777778;0,404255319149;0,2;0,105555555556;0,322222222222;0,628472222222;0,690779320988
96;0,722222222222;0,255952380952;0,650697876994;0,786269019652;0,8;0,995397388573;0,033894853525;0,527777777778;0,770833333333;0,365384615385;0,8671875;0,365384615385;0,527777777778;0,431818181818;0,2;0,105555555556;0,288888888889;0,649305555556;0,680362654321
97;0,683333333333;0,11214953271;0,609982286547;0,750526898482;0,8;0,999924278077;0,185326304199;0,361111111111;0,763888888889;0,276595744681;0,827067669173;0,276595744681;0,361111111111;0,313253012048;0,2;0,072222222222;0,261111111111;0,5625;0,632330246914
98;0,75;0,358974358974;0,680144125964;0,811429155722;0,8;0,958689979523;0,002869112792;0,666666666667;0,770833333333;0,421052631579;0,90243902439;0,421052631579;0,666666666667;0,516129032258;0,2;0,133333333333;0,316666666667;0,71875;0,73900462963
99;0,672222222222;0,159544159544;0,598450339192;0,740212330392;0,8;0,999981156818;0,009220239891;0,472222222222;0,722222222222;0,298245614035;0,845528455285;0,298245614035;0,472222222222;0,365591397849;0,2;0,094444444444;0,316666666667;0,597222222222;0,635609567901
100;0,755555555556;0,398907103825;0,686072794439;0,816420971574;0,8;0,940541969033;0,000163973939;0,75;0,756944444444;0,435483870968;0,923728813559;0,435483870968;0,75;0,551020408163;0,2;0,15;0,344444444444;0,753472222222;0,797646604938
