Careless;HE01_01_r;HE01_09_r;HE01_10_r;HE01_12_r;HE01_14_r;HE01_15_r;HE01_19_r;HE01_20_r;HE01_21_r;HE01_24_r;HE01_26_r;HE01_28_r;HE01_30_r;HE01_31_r;HE01_32_r;HE01_35_r;HE01_41_r;HE01_42_r;HE01_44_r;HE01_46_r;HE01_48_r;HE01_49_r;HE01_52_r;HE01_53_r;HE01_55_r;HE01_56_r;HE01_57_r;HE01_59_r;HE01_60_r;HE01_02;HE01_03;HE01_04;HE01_05;HE01_06;HE01_07;HE01_08;HE01_11;HE01_13;HE01_16;HE01_17;HE01_18;HE01_22;HE01_23;HE01_25;HE01_27;HE01_29;HE01_33;HE01_34;HE01_36;HE01_37;HE01_38;HE01_39;HE01_40;HE01_43;HE01_45;HE01_47;HE01_50;HE01_51;HE01_54;HE01_58
1;1;2;4;4;4;4;3;3;4;4;4;4;2;3;4;3;4;2;4;2;4;2;2;4;4;4;2;4;4;2;2;2;2;3;4;4;4;2;4;4;2;2;4;3;2;2;2;4;4;4;4;2;4;4;2;4;2;2;3;4
1;2;2;5;1;4;3;2;4;4;4;5;4;3;2;5;4;3;1;4;4;3;5;4;4;4;4;3;4;1;4;3;4;2;3;4;5;4;1;3;3;3;4;3;3;3;2;3;4;3;2;4;4;3;4;4;4;3;2;3;4
0;5;2;5;1;4;4;4;3;5;2;2;4;5;4;4;4;3;3;4;3;2;5;2;2;5;2;4;5;1;4;2;2;1;2;5;3;4;5;3;3;2;3;4;2;3;2;5;4;4;5;4;1;5;5;4;5;4;3;5;4
1;2;4;3;3;2;2;1;2;3;1;2;3;2;2;3;2;2;3;2;3;2;2;2;2;2;3;3;2;1;4;3;3;4;3;3;4;4;3;4;3;3;3;3;4;3;4;3;4;3;4;4;3;4;3;5;3;4;4;3;4
0;3;2;4;5;4;4;3;4;5;5;5;3;4;1;4;3;4;2;4;4;3;2;5;2;5;3;4;4;5;5;4;3;4;1;5;4;4;4;4;3;2;4;3;4;2;4;4;5;5;3;5;4;3;4;3;4;5;2;5;4
0;3;3;3;5;4;2;2;5;5;4;3;3;5;4;5;1;2;2;4;3;5;3;2;3;4;3;3;4;5;4;4;5;2;5;4;5;3;4;3;2;5;5;4;4;4;3;4;3;5;4;5;4;4;4;5;4;2;3;5;3
0;5;1;5;5;3;3;3;3;5;1;4;5;5;5;3;3;1;1;3;3;1;5;5;2;5;3;3;3;5;5;2;5;1;5;5;5;1;5;3;3;3;4;1;5;1;1;1;1;3;5;5;5;4;5;5;5;4;3;5;5
0;5;4;3;5;5;3;4;5;5;4;5;4;4;4;5;5;3;5;5;3;5;5;4;3;2;3;3;5;5;5;3;4;1;2;3;3;5;5;3;3;3;4;4;4;1;3;3;5;5;4;4;2;4;4;1;4;5;3;4;1
0;5;4;4;4;4;4;4;3;4;4;2;4;4;4;4;3;2;4;4;4;4;4;4;2;5;3;4;4;5;4;4;4;2;3;5;3;4;5;3;4;3;5;4;5;3;2;4;4;5;3;4;2;3;4;3;3;3;2;4;3
0;5;5;4;4;4;5;4;3;5;4;2;4;5;5;5;3;3;5;4;3;4;5;5;2;5;3;4;4;4;3;2;4;2;4;5;4;1;5;5;3;4;4;4;4;4;2;5;4;4;4;4;2;3;5;4;3;3;4;4;2
0;4;2;3;2;4;5;4;3;5;5;3;4;5;5;2;4;4;4;4;2;5;5;3;3;4;3;5;5;1;3;2;3;2;4;3;2;4;5;1;2;2;2;4;3;2;3;3;2;2;5;3;3;2;5;3;4;3;2;4;1
0;1;3;3;5;4;2;3;4;5;4;4;3;4;3;5;4;2;3;4;3;4;1;4;3;1;3;4;4;5;4;4;4;1;2;3;4;3;1;3;3;2;4;3;1;4;4;3;3;4;4;4;3;3;4;3;4;3;4;3;3
0;1;3;2;5;3;4;3;4;4;4;5;3;5;2;3;3;3;5;4;2;5;1;4;3;1;4;4;3;5;4;3;4;4;5;2;2;4;1;3;2;3;4;4;1;2;3;2;3;4;3;3;3;1;3;3;3;3;3;5;3
1;4;2;3;5;2;3;2;3;5;4;3;4;4;3;4;3;3;3;4;4;4;4;4;3;5;3;3;4;5;3;4;5;3;4;5;4;4;3;4;4;3;4;3;3;3;3;4;4;1;3;5;3;3;4;3;4;4;3;2;4
1;4;3;2;5;2;2;2;3;5;4;3;3;4;5;4;5;4;3;2;3;4;4;3;3;4;3;5;3;5;4;2;4;1;3;3;4;5;5;2;4;4;2;3;3;2;3;3;1;5;5;4;4;2;4;3;4;2;4;4;1
1;4;2;4;5;4;3;2;4;4;4;3;4;4;4;5;4;2;5;4;3;4;4;5;4;3;3;3;4;5;4;2;4;2;2;4;3;4;3;5;4;3;4;4;4;4;3;3;4;4;4;4;2;3;4;3;4;3;2;4;4
0;2;3;3;4;4;3;4;3;2;4;1;4;4;2;2;4;4;3;2;2;3;1;2;2;4;2;4;4;2;2;1;2;2;5;3;4;4;4;2;4;2;2;4;1;2;3;3;4;2;2;4;2;3;4;1;4;3;4;5;2
1;1;3;3;1;5;2;3;5;5;5;5;2;5;5;5;4;1;3;5;3;5;4;3;3;1;4;4;1;2;5;2;4;3;1;4;4;4;2;1;1;1;4;1;4;1;2;1;3;1;3;4;1;3;5;3;3;3;1;5;2
1;4;2;4;5;4;2;2;3;5;3;5;5;2;4;4;2;1;4;5;3;4;3;5;2;5;2;4;3;5;4;4;5;1;2;3;4;3;4;2;2;3;5;2;3;2;3;3;4;5;5;5;3;4;4;4;3;4;2;3;3
1;3;3;3;3;2;3;2;4;3;4;2;3;3;2;3;3;2;3;3;3;3;4;3;3;3;3;3;3;3;3;3;4;3;4;3;3;3;4;3;3;4;3;3;4;4;3;3;3;3;3;2;3;3;3;3;3;3;3;3;3
0;3;1;4;3;2;2;1;2;5;4;2;3;2;4;2;1;5;3;5;2;2;1;2;5;4;2;4;4;2;4;3;4;5;4;4;4;5;5;4;5;3;3;4;4;2;5;3;2;3;4;5;4;2;4;2;5;5;2;4;3
0;3;4;3;3;3;4;3;3;5;4;4;4;2;2;4;3;3;3;3;3;3;4;4;4;3;3;3;4;3;4;2;4;3;3;4;3;4;3;3;4;3;4;3;4;3;2;4;3;3;2;3;3;3;3;2;4;2;2;3;2
0;5;3;4;5;4;3;2;4;4;4;4;4;4;3;5;2;2;4;4;2;5;1;3;2;4;3;4;3;5;5;4;4;4;3;5;4;3;3;4;3;3;4;4;4;3;3;4;2;5;2;4;3;2;4;4;3;4;3;4;2
0;4;2;3;4;4;2;3;4;4;4;4;4;3;4;3;4;3;4;4;2;4;2;4;4;4;4;4;3;4;4;2;3;2;3;4;4;5;3;2;3;4;3;4;4;3;4;2;2;4;2;4;3;2;3;4;4;4;2;2;2
0;5;2;4;4;2;1;4;3;2;4;2;4;2;4;3;4;4;4;2;4;4;4;3;3;3;1;2;5;4;5;1;3;1;5;5;4;4;4;4;5;3;4;4;4;4;3;4;5;4;5;2;2;4;5;2;5;2;3;5;4
0;5;4;5;1;4;5;2;5;5;5;5;4;4;2;4;3;2;5;3;4;5;2;3;2;4;4;4;5;3;5;2;4;1;4;1;3;4;5;4;5;4;2;4;3;2;3;4;3;2;3;4;4;4;5;3;5;2;4;4;3
0;5;4;3;5;5;2;3;3;5;5;5;5;5;5;5;4;2;4;3;2;5;3;5;3;5;5;3;4;5;5;2;5;5;5;5;5;3;4;2;3;3;3;4;3;3;3;3;2;5;3;5;3;1;3;2;4;5;3;5;1
1;2;3;5;5;4;2;4;4;5;5;3;4;5;4;4;3;2;5;4;4;5;3;5;3;4;3;3;5;5;3;1;4;1;5;5;4;1;4;4;3;2;4;4;2;2;2;2;3;5;4;4;2;2;4;3;3;3;2;5;4
0;4;4;4;2;4;4;4;3;5;5;2;4;4;3;2;3;2;2;3;3;4;4;3;4;5;2;4;4;2;4;4;4;3;4;4;3;2;4;3;2;3;5;3;2;4;2;4;3;3;5;4;2;3;5;3;4;2;3;5;4
0;2;4;2;2;3;2;4;2;4;3;2;4;4;5;3;3;2;4;3;2;5;2;4;2;4;3;4;3;3;4;4;4;2;2;4;3;4;2;4;2;4;3;4;4;2;2;4;2;3;2;4;4;2;2;4;2;2;4;3;2
1;5;3;3;1;1;2;2;2;5;4;1;1;1;2;5;5;1;1;1;1;1;2;1;5;5;5;4;5;5;3;3;3;3;3;3;3;5;5;5;5;1;5;5;5;5;5;4;1;2;5;5;5;5;5;2;4;2;5;4;4
0;4;2;4;5;1;2;3;5;4;4;5;4;4;5;4;3;2;2;5;3;2;1;4;3;3;5;4;4;5;5;3;4;2;4;5;4;2;4;3;4;3;4;3;4;4;4;5;4;5;3;5;4;3;5;4;4;4;3;4;3
1;3;3;4;5;5;4;3;4;5;2;4;3;3;5;4;5;3;5;3;3;4;2;1;3;3;3;2;3;5;3;3;3;2;5;4;3;4;4;3;3;5;3;4;4;2;3;4;4;1;5;4;3;4;4;4;5;3;3;5;3
0;4;2;3;4;4;2;2;4;5;5;3;5;5;5;4;2;2;5;5;5;5;5;5;2;1;5;5;2;5;4;3;5;1;5;4;4;1;4;4;5;4;5;2;4;3;2;5;4;5;4;5;3;2;5;4;2;2;2;5;3
1;5;3;3;3;3;3;3;4;4;3;3;5;3;3;3;3;2;3;3;3;3;4;3;3;3;3;3;3;1;3;1;5;3;2;3;3;3;3;3;3;3;3;3;3;3;2;3;3;3;3;3;3;3;3;3;4;3;3;3;3
0;1;5;2;2;3;2;3;1;5;5;4;4;5;1;3;4;2;3;4;2;5;1;2;3;1;2;5;3;5;4;2;4;2;5;1;3;4;4;2;2;3;3;3;1;4;2;5;3;4;3;4;3;2;3;5;4;1;5;5;1
1;1;4;4;5;4;2;2;3;5;4;4;4;5;4;4;2;2;4;4;2;5;2;4;4;4;4;2;2;5;5;4;4;1;4;5;4;2;2;3;2;2;4;2;2;4;2;4;2;5;4;4;2;2;4;4;3;3;4;4;2
1;3;1;5;3;5;2;4;5;3;4;4;4;4;5;5;4;4;4;4;3;3;1;4;3;3;4;3;5;5;4;1;3;3;5;4;2;5;3;4;4;3;2;2;4;2;4;2;3;5;3;5;2;3;4;2;4;4;2;4;3
0;5;4;2;4;4;5;1;1;5;3;5;4;4;3;3;5;4;5;5;3;3;4;3;4;4;4;3;4;4;5;1;4;4;4;4;3;4;5;4;4;4;3;3;5;2;4;3;3;4;3;4;2;4;4;3;4;3;3;5;3
0;3;1;4;3;1;2;4;5;3;5;5;3;4;5;5;4;2;5;4;2;3;1;5;1;5;2;4;5;5;1;4;3;1;4;3;4;3;4;4;3;3;2;5;4;2;2;4;3;5;5;5;3;2;3;4;5;2;3;5;1
0;4;4;4;5;5;2;4;3;5;5;4;5;2;4;4;3;2;4;4;3;4;1;5;2;4;3;4;4;5;3;2;5;1;3;4;4;2;4;5;3;3;5;3;5;4;3;4;3;5;4;4;4;3;5;4;4;3;2;1;3
0;2;4;2;5;4;4;2;4;5;4;5;3;5;2;4;5;2;5;5;3;4;4;4;3;1;2;4;5;5;5;3;5;1;5;3;4;5;2;2;2;3;5;5;1;2;4;4;4;4;5;5;2;2;4;4;4;3;5;5;1
1;2;4;4;4;2;4;3;4;5;4;4;3;5;2;3;3;4;4;5;4;4;4;4;4;4;2;4;4;2;3;3;3;4;4;2;3;4;2;2;3;3;4;3;2;2;4;2;2;4;3;4;2;3;4;3;4;4;3;4;2
0;5;4;5;5;3;2;4;5;4;5;5;4;4;4;5;2;2;3;4;4;3;4;4;1;5;3;3;3;4;4;3;4;1;2;5;5;1;5;3;1;3;5;3;4;4;1;2;5;5;4;4;2;3;3;3;3;4;2;5;4
0;1;1;1;5;4;2;3;3;5;3;2;2;4;1;4;3;5;2;3;3;1;2;2;3;4;1;1;4;2;3;2;1;3;3;4;1;3;3;2;5;2;4;3;2;3;2;2;4;1;1;3;2;3;3;2;2;4;1;3;3
1;4;2;4;2;2;4;4;3;4;3;3;2;3;4;4;2;4;2;2;3;3;4;4;4;3;4;3;2;4;3;3;3;2;4;3;3;3;4;2;3;4;3;3;4;2;2;3;2;3;3;3;4;3;3;4;3;2;2;4;2
1;4;4;2;4;4;2;5;5;5;5;5;3;4;5;3;3;2;5;5;1;5;3;4;2;5;5;4;1;5;5;3;4;5;4;3;3;4;5;1;1;3;3;2;4;2;4;4;1;4;4;5;3;1;3;4;1;4;2;5;1
1;4;4;5;3;4;2;5;2;4;1;5;2;3;4;4;4;2;4;3;2;3;3;3;2;4;1;3;4;3;3;4;2;4;5;5;4;4;3;2;3;4;4;3;3;3;2;4;3;3;4;4;4;2;4;4;4;3;2;3;4
0;4;3;4;4;4;3;3;2;4;4;4;4;4;4;4;3;3;4;3;3;4;4;4;2;4;3;3;4;4;3;3;4;2;3;4;3;2;2;4;3;4;4;3;4;3;2;4;4;4;3;4;3;3;4;3;4;3;3;4;3
0;1;4;1;5;4;2;2;2;4;3;5;4;2;2;4;2;1;2;4;1;2;2;2;2;2;1;3;4;5;4;2;4;1;1;3;2;5;3;2;4;2;4;4;2;1;4;4;3;5;5;5;4;2;4;4;5;4;4;5;2
0;4;4;5;3;5;2;4;3;5;5;5;5;5;5;3;2;5;5;5;5;5;3;5;2;3;2;3;4;5;4;4;5;1;5;3;3;1;3;4;2;5;5;3;4;5;2;4;4;5;5;4;3;4;5;4;2;4;3;5;2
0;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3
0;3;2;2;2;3;2;2;3;4;4;4;3;4;4;4;3;3;4;4;1;4;3;4;3;4;3;3;3;2;3;2;3;3;4;4;3;2;4;2;3;2;3;2;3;2;3;3;2;3;2;4;2;2;4;4;3;4;2;4;2
0;4;4;4;4;4;2;2;2;3;4;4;4;4;4;4;4;2;3;4;2;4;4;4;2;4;4;4;3;4;4;2;4;2;3;4;4;4;4;2;2;3;4;3;4;2;2;4;4;4;4;4;4;3;4;4;2;2;4;4;4
0;4;3;4;3;2;3;5;3;5;4;2;4;4;4;4;2;2;3;4;3;4;4;5;2;4;2;3;2;4;3;3;4;2;2;5;3;1;4;2;3;2;4;2;3;3;4;4;3;4;4;3;3;3;5;3;2;2;3;4;2
0;1;5;1;5;5;5;5;1;5;1;5;5;5;1;5;1;3;5;5;1;3;5;5;3;1;1;2;3;5;5;5;5;1;5;1;5;4;1;5;1;5;5;1;1;5;5;1;5;5;5;5;5;5;3;5;5;1;5;5;1
1;5;3;2;4;4;3;4;2;4;3;3;4;4;4;3;4;2;4;4;2;4;1;4;3;4;2;4;4;2;4;4;4;3;3;4;4;4;5;3;4;3;4;3;4;2;4;2;4;4;4;2;4;4;4;2;4;3;2;2;3
1;5;4;3;2;5;2;5;5;5;4;5;5;5;1;4;4;2;3;5;5;5;1;5;2;4;4;5;3;5;5;1;3;1;5;5;4;3;1;2;1;1;3;4;1;1;3;1;1;5;2;3;1;1;4;1;1;1;5;5;1
1;4;4;3;5;5;4;4;3;5;4;2;2;2;4;4;2;3;4;3;2;5;4;3;3;5;3;3;4;3;3;2;3;2;3;4;2;4;4;3;2;2;3;3;4;3;2;4;2;4;4;3;3;2;4;3;3;4;3;3;2
0;1;3;4;2;4;4;4;4;2;3;5;4;4;4;4;4;3;4;5;3;3;3;3;2;4;4;2;4;2;4;1;2;1;4;5;5;4;1;5;3;2;4;4;1;2;2;4;4;5;2;4;2;4;2;4;4;3;4;4;2
1;3;2;3;5;5;2;3;3;5;5;5;3;4;3;4;3;2;2;5;3;5;3;5;3;3;4;3;3;4;4;3;3;3;3;4;5;4;4;3;3;4;3;2;3;2;2;2;3;5;4;3;4;3;5;3;3;4;3;4;3
0;5;2;4;4;2;2;4;2;4;4;4;4;5;5;4;2;4;3;4;4;3;4;5;2;4;3;3;4;5;2;4;5;2;4;4;3;3;4;5;4;3;5;4;2;2;3;3;4;5;4;2;1;3;3;4;4;3;3;5;3
0;1;2;5;4;5;3;3;4;4;4;4;4;5;5;4;3;2;4;5;3;5;5;5;2;4;4;4;2;5;4;2;4;2;3;5;4;4;2;4;4;3;4;3;1;3;2;2;3;4;2;5;2;3;4;4;4;5;2;4;4
1;2;4;5;1;2;1;2;2;4;3;2;4;2;4;3;2;2;2;2;5;2;4;2;1;4;2;2;2;2;4;2;4;4;3;4;4;4;5;4;3;3;5;1;4;3;1;4;4;5;4;4;1;3;5;4;2;2;4;1;5
0;5;4;5;2;4;4;3;5;5;4;5;5;5;5;5;3;1;2;5;3;4;4;5;2;5;5;4;3;3;4;4;5;3;4;5;4;2;5;5;2;2;5;1;5;3;3;3;4;4;5;5;2;3;4;3;3;3;3;4;4
1;3;3;3;3;3;3;2;3;5;3;5;5;3;3;3;3;2;4;4;4;3;5;5;3;3;2;3;3;5;4;4;4;2;1;4;3;3;1;4;4;3;5;1;1;1;3;3;4;2;3;3;3;3;4;2;3;1;3;3;3
0;4;4;3;4;4;4;2;4;5;5;3;3;4;4;2;4;3;4;4;2;4;2;4;4;5;3;4;4;4;4;2;3;2;4;5;3;3;3;3;3;4;4;2;5;3;3;3;4;4;3;4;2;3;4;3;4;3;3;4;2
1;1;3;4;5;4;4;1;3;5;5;5;3;5;3;4;4;3;5;4;1;5;1;2;2;3;4;5;2;5;4;2;3;1;4;4;4;3;1;1;4;4;3;2;1;1;2;2;4;5;3;4;2;3;3;2;4;3;2;5;2
0;2;3;4;5;4;3;1;3;5;4;5;3;3;2;3;4;3;4;4;4;4;2;4;2;2;2;3;4;5;4;2;3;3;3;3;4;5;1;3;4;3;4;3;1;2;3;3;3;4;4;4;3;4;4;3;4;3;3;3;3
0;4;2;4;5;4;1;2;1;5;4;3;4;5;4;5;3;3;5;5;3;5;2;5;3;3;4;3;5;5;3;3;5;1;5;4;4;2;3;4;4;3;5;4;3;4;2;4;4;5;4;4;3;3;3;3;4;3;4;5;3
0;3;4;4;1;3;4;2;3;4;4;2;4;4;4;2;2;2;4;4;3;4;3;4;4;1;2;4;2;1;4;3;4;3;2;3;3;2;2;4;3;4;3;2;1;3;3;3;3;2;4;4;3;3;4;4;2;4;2;3;3
0;1;3;2;5;4;4;1;5;5;5;5;5;5;3;3;5;3;5;5;2;5;5;5;5;1;5;4;4;5;1;2;4;4;5;1;2;4;4;1;3;2;3;4;1;1;4;2;2;5;2;5;2;2;3;2;5;4;3;5;1
0;4;2;5;4;4;3;4;4;5;3;5;4;5;4;4;4;2;2;5;4;3;4;3;2;3;3;5;3;5;4;3;3;4;5;3;4;4;5;3;1;3;3;3;2;3;2;3;4;4;4;4;2;3;4;5;5;4;4;5;4
0;2;4;3;1;3;3;3;4;4;4;3;2;2;2;3;5;3;1;2;3;4;2;2;3;3;3;4;5;1;4;2;3;3;2;3;3;4;3;3;3;3;3;3;1;2;4;4;4;4;3;3;4;2;3;2;4;2;3;5;3
0;1;3;4;5;4;2;3;4;5;2;5;3;5;4;5;3;4;5;5;3;4;3;5;4;1;4;4;4;5;4;2;3;2;4;3;5;4;5;3;4;3;4;5;1;5;5;3;3;5;4;5;3;2;4;3;3;5;2;4;4
0;4;3;5;2;4;3;4;3;4;2;4;3;2;2;5;3;2;3;4;2;2;4;4;2;4;3;2;3;2;3;3;4;3;2;4;4;4;2;2;3;2;5;2;2;2;2;4;4;2;4;5;4;3;4;4;3;4;2;3;4
1;1;2;2;5;4;3;1;4;3;5;4;3;2;1;4;1;1;4;5;4;2;5;4;2;1;2;4;4;5;2;2;4;1;2;3;4;4;1;2;1;5;5;2;2;5;2;4;2;2;3;5;3;2;4;2;2;4;4;2;1
0;3;1;5;4;2;2;5;4;3;2;4;3;3;4;3;2;3;4;4;4;2;3;4;2;3;3;2;4;4;4;3;5;1;3;4;3;3;3;4;4;5;5;2;4;1;4;4;4;3;5;3;4;4;4;3;4;4;3;3;5
1;1;2;4;5;5;2;5;5;5;5;5;4;5;1;5;4;2;2;5;2;5;1;4;2;2;4;5;4;5;5;2;2;1;5;4;4;2;1;4;1;1;4;1;1;4;1;2;5;5;5;5;1;1;4;4;2;4;4;5;1
0;4;4;4;2;4;3;2;4;5;4;4;4;4;2;4;4;4;3;4;3;4;3;3;4;3;4;4;5;2;5;3;3;4;4;3;4;4;4;4;4;3;4;4;4;3;3;4;3;3;3;4;2;3;4;3;4;3;4;4;3
1;4;3;4;4;3;3;3;3;5;5;3;4;4;4;4;5;4;4;5;5;4;3;4;3;4;4;3;4;4;3;2;2;2;3;2;5;3;3;3;2;3;2;1;2;2;2;3;2;2;2;2;1;1;2;2;2;2;2;2;2
1;1;3;2;2;4;4;4;3;4;4;2;4;4;5;4;4;2;2;4;2;4;2;4;2;3;2;4;3;3;1;4;4;2;4;4;2;4;4;4;2;3;4;3;2;4;2;4;2;3;4;2;4;2;4;4;3;2;4;3;2
0;4;4;4;4;4;4;2;4;5;3;4;4;5;3;4;2;2;3;4;3;3;2;4;3;4;4;4;4;5;4;4;4;2;5;5;4;1;4;5;3;3;4;3;4;2;3;3;4;5;3;4;4;4;4;4;4;2;4;5;3
1;5;1;5;1;4;1;4;3;2;4;3;5;3;3;4;3;2;1;4;4;3;2;3;1;1;3;4;3;4;3;2;5;2;2;4;5;5;5;3;2;3;5;3;1;2;1;4;4;2;5;4;3;3;4;2;4;5;4;2;4
0;1;4;5;5;4;2;2;2;5;3;4;5;4;4;4;2;3;4;4;3;4;1;5;2;3;4;4;3;5;4;4;4;1;2;3;4;2;2;5;4;5;5;3;5;1;1;4;3;5;2;4;2;2;4;4;3;2;3;4;4
0;4;4;3;1;4;2;4;4;5;3;5;3;3;3;3;2;2;3;4;4;3;3;4;3;4;3;4;3;2;3;4;4;2;4;4;4;2;4;4;2;3;4;4;2;3;2;4;3;3;4;4;3;2;5;4;3;4;4;3;3
0;3;2;2;5;3;3;3;3;4;3;2;3;3;3;3;3;3;1;2;2;2;4;3;3;3;2;3;3;5;4;3;3;3;4;3;4;4;3;3;4;3;4;3;5;3;3;3;3;3;3;4;3;3;4;4;3;3;3;3;2
0;2;3;4;4;5;4;4;5;5;4;4;4;2;3;5;5;2;2;5;3;4;3;4;4;5;4;5;4;5;5;3;4;2;2;4;5;5;3;3;2;2;4;3;2;2;4;2;3;2;3;3;2;3;4;2;4;4;2;2;3
0;3;2;4;4;4;2;2;2;4;3;4;4;4;4;4;4;3;5;5;2;4;2;3;3;3;2;2;4;4;4;2;4;2;4;3;3;4;2;4;2;4;4;3;3;4;3;4;4;3;4;5;3;3;4;5;4;5;2;4;3
0;4;4;5;3;5;1;5;2;5;4;5;4;5;3;4;4;3;3;4;4;2;5;2;2;4;4;4;3;5;4;4;3;4;2;4;3;4;5;4;4;2;3;2;4;2;2;4;4;5;5;4;4;4;5;4;5;4;2;5;4
1;5;5;5;5;5;5;5;5;5;5;5;5;5;4;4;4;2;4;4;2;5;2;4;4;4;3;4;4;4;4;4;4;1;4;4;3;2;4;4;2;4;4;2;4;3;4;4;2;4;4;4;2;1;4;2;4;4;2;4;2
0;5;5;3;5;5;5;1;3;5;5;5;5;5;5;5;5;2;2;4;3;5;1;3;3;3;3;5;5;5;5;2;3;1;5;5;1;5;3;3;5;3;5;5;3;2;4;5;3;3;5;5;1;3;5;3;5;1;3;5;1
1;5;4;2;4;2;4;2;3;4;4;2;4;4;4;3;3;2;4;3;3;4;4;4;4;4;3;4;5;4;3;3;5;2;2;5;3;4;5;4;3;4;3;5;4;3;3;4;4;5;3;3;4;4;3;3;4;2;4;3;2
1;5;2;5;1;3;2;3;4;5;3;3;3;3;3;3;3;2;4;3;2;3;4;2;2;3;2;3;3;4;5;3;5;2;1;5;5;4;4;1;2;3;5;3;5;3;4;2;4;5;3;3;3;4;4;3;5;3;3;4;5
0;5;2;4;5;4;3;4;4;3;4;4;3;4;4;4;3;2;5;3;3;4;4;5;3;3;4;3;3;4;4;2;4;3;4;4;4;4;5;4;3;3;4;2;5;3;3;3;3;5;4;3;2;3;4;3;4;3;2;4;3
0;5;2;4;4;4;3;4;4;4;4;5;4;5;4;4;4;2;3;5;3;5;3;5;3;4;3;4;4;5;4;2;4;1;3;4;3;2;4;3;2;3;2;3;4;2;3;4;2;5;3;4;2;2;4;3;3;2;2;5;2
0;3;3;2;2;4;3;4;3;5;5;3;4;4;2;2;5;3;5;4;4;4;2;2;3;2;4;4;4;2;4;2;3;4;2;3;3;4;4;4;2;3;2;4;3;2;4;3;3;3;3;4;2;3;4;2;3;3;3;3;1
1;1;5;4;1;5;5;3;4;5;5;4;4;3;1;4;5;5;1;4;4;5;2;5;5;1;3;5;5;1;4;1;3;4;4;1;2;5;1;4;4;2;4;3;1;2;5;3;3;2;4;2;3;2;4;4;3;2;3;3;1
0;4;4;4;4;3;4;2;4;5;3;4;4;3;3;4;3;2;5;3;2;5;2;4;3;3;3;4;4;5;4;4;4;2;3;4;4;3;4;4;3;3;3;2;4;3;4;4;3;5;3;4;2;2;3;4;4;2;2;4;2
0;5;5;1;5;1;4;1;4;5;5;4;3;5;3;5;3;3;5;4;1;5;1;1;2;4;4;4;1;5;5;5;1;3;5;5;3;2;3;1;3;5;1;3;4;4;3;3;1;5;3;4;3;1;3;4;5;4;4;5;1
0;1;3;2;2;2;4;3;4;3;3;4;5;4;4;3;5;2;2;4;1;4;2;1;3;5;2;3;3;5;2;2;1;1;3;5;3;4;5;2;2;4;1;2;2;4;5;3;1;5;4;4;4;1;3;3;2;5;2;5;1
